Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 12/01/2026
TIME       : 13:51:06
FILENAME   : C:\Users\rchiu18\AppData\Roaming\DiverOffice\WillapaRiver_2025\CSV\SF01_260112135103_FS041.CSV
CREATED BY : Diver-Office 13.0.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-FS041  219.
  Instrument number       =          UTC+0     
                          =0
  Location                =SF01
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =13.12336  ft
  Range                   =57.41470  ft
  Master level            =400       CMH2O
  Altitude                =0         ft
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-FS041  219.
  Instrument number       =          UTC+0     
  Location                =SF01
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:14 06/11/25
  End date / time         =00:50:21 12/01/26
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =13.12336  ft
  Range                   =57.41470  ft
  Master level            =400       CMH2O
  Altitude                =0         ft
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[ftH2O],Temperature[°C]
2025/11/06 14:00:00,33.85198,14.060
2025/11/06 14:05:00,33.84241,13.543
2025/11/06 14:10:00,33.84815,13.147
2025/11/06 14:15:00,33.85198,12.840
2025/11/06 14:20:00,33.85772,12.613
2025/11/06 14:25:00,33.84815,12.433
2025/11/06 14:30:00,33.84815,12.270
2025/11/06 14:35:00,33.84815,12.200
2025/11/06 14:40:00,33.84241,12.107
2025/11/06 14:45:00,33.84815,11.997
2025/11/06 14:50:00,33.84815,11.693
2025/11/06 14:55:00,33.84815,11.460
2025/11/06 15:00:00,33.84815,11.293
2025/11/06 15:05:00,33.84815,11.177
2025/11/06 15:10:00,33.85198,11.113
2025/11/06 15:15:00,33.84815,11.113
2025/11/06 15:20:00,33.84815,11.137
2025/11/06 15:25:00,33.84815,11.217
2025/11/06 15:30:00,33.85198,11.147
2025/11/06 15:35:00,33.83858,11.137
2025/11/06 15:40:00,33.84241,11.137
2025/11/06 15:45:00,33.83858,11.177
2025/11/06 15:50:00,33.84241,11.217
2025/11/06 15:55:00,33.83858,11.233
2025/11/06 16:00:00,33.83284,11.217
2025/11/06 16:05:00,33.84815,11.210
2025/11/06 16:10:00,33.84815,11.240
2025/11/06 16:15:00,33.83284,11.287
2025/11/06 16:20:00,33.82901,11.363
2025/11/06 16:25:00,33.83858,11.363
2025/11/06 16:30:00,33.84241,11.333
